BASEBALL

{'id': '2211792', 'name_brief': 'A. A.', 'first_name': 'Albert', 'last_name': 'Abreu', 'position': 'SP', 'age': 22}
{'id': '2106364', 'name_brief': 'J. A.', 'first_name': 'Jose', 'last_name': 'Abreu', 'position': '1B', 'age': 31}
{'id': '2210866', 'name_brief': 'A. A.', 'first_name': 'Andury', 'last_name': 'Acevedo', 'position': 'RP', 'age': 27}
{'id': '2211789', 'name_brief': 'D. A.', 'first_name': 'Domingo', 'last_name': 'Acevedo', 'position': 'SP', 'age': 24}
{'id': '1670944', 'name_brief': 'M. A.', 'first_name': 'Mayo', 'last_name': 'Acosta', 'position': 'C', 'age': 30}
{'id': '1846226', 'name_brief': 'J. A.', 'first_name': 'Jason', 'last_name': 'Adam', 'position': 'SP', 'age': 26}
{'id': '1959299', 'name_brief': 'C. A.', 'first_name': 'Cristhian', 'last_name': 'Adames', 'position': 'SS', 'age': 26}
{'id': '2165933', 'name_brief': 'W. A.', 'first_name': 'Willy', 'last_name': 'Adames', 'position': 'SS', 'age': 22}
{'id': '2444539', 'name_brief': 'A. A.', 'first_name': 'Austin', 'last_name': 'Adams', 'position': 'RP', 'age': 26}
{'id': '2226042', 'name_brief': 'C. A.', 'first_name': 'Caleb', 'last_name': 'Adams', 'position': 'LF', 'age': 25}
{'id': '2048786', 'name_brief': 'L. A.', 'first_name': 'Lane', 'last_name': 'Adams', 'position': 'LF', 'age': 28}
{'id': '1810388', 'name_brief': 'M. A.', 'first_name': 'Matt', 'last_name': 'Adams', 'position': '1B', 'age': 29}
{'id': '1961303', 'name_brief': 'T. A.', 'first_name': 'Trever', 'last_name': 'Adams', 'position': '1B', 'age': 29}
{'id': '2910636', 'name_brief': 'B. A.', 'first_name': 'Brett', 'last_name': 'Adcock', 'position': 'SP', 'age': 22}
{'id': '2117347', 'name_brief': 'N. A.', 'first_name': 'Nick', 'last_name': 'Additon', 'position': 'SP', 'age': 30}
{'id': '549732', 'name_brief': 'J. A.', 'first_name': 'Jim', 'last_name': 'Adduci', 'position': 'RF', 'age': 32}
{'id': '2821100', 'name_brief': 'A. A.', 'first_name': 'Aramis', 'last_name': 'Ademan', 'position': 'SS', 'age': 19}
{'id': '2223636', 'name_brief': 'H. A.', 'first_name': 'Hunter', 'last_name': 'Adkins', 'position': 'SP', 'age': 27}
{'id': '2167473', 'name_brief': 'M. A.', 'first_name': 'Micker', 'last_name': 'Adolfo', 'position': 'RF', 'age': 21}
{'id': '1666190', 'name_brief': 'E. A.', 'first_name': 'Ehire', 'last_name': 'Adrianza', 'position': 'SS', 'age': 28}
{'id': '2044515', 'name_brief': 'M. A.', 'first_name': 'Martin', 'last_name': 'Agosta', 'position': 'SP', 'age': 27}
{'id': '2898220', 'name_brief': 'D. A.', 'first_name': 'Dario', 'last_name': 'Agrazal', 'position': 'P', 'age': 23}
{'id': '1947830', 'name_brief': 'J. A.', 'first_name': 'Jesus', 'last_name': 'Aguilar', 'position': '1B', 'age': 27}
{'id': '2803484', 'name_brief': 'R. A.', 'first_name': 'Ryan', 'last_name': 'Aguilar', 'position': '1B', 'age': 23}
{'id': '2171049', 'name_brief': 'E. A.', 'first_name': 'Eric', 'last_name': 'Aguilera', 'position': '1B', 'age': 27}
{'id': '2171165', 'name_brief': 'D. A.', 'first_name': 'Devan', 'last_name': 'Ahart', 'position': 'CF', 'age': 25}
{'id': '1959715', 'name_brief': 'N. A.', 'first_name': 'Nick', 'last_name': 'Ahmed', 'position': 'SS', 'age': 28}
{'id': '580567', 'name_brief': 'M. A.', 'first_name': 'Matt', 'last_name': 'Albers', 'position': 'RP', 'age': 35}
{'id': '2044664', 'name_brief': 'H. A.', 'first_name': 'Hanser', 'last_name': 'Alberto', 'position': '3B', 'age': 25}
{'id': '2167464', 'name_brief': 'O. A.', 'first_name': 'Ozzie', 'last_name': 'Albies', 'position': '2B', 'age': 21}
